label,study_and_condition
0, vaccines ovarian cancer diagnosis hematocrit greater twenty five
0, cyclosporins stage ii adult hodgkin lymphoma diagnosis donor recipient must have human leukocyte antigen hla eight eight allelic match at hla b drbone high resolution typing is required all alleles
1, razoxane childhood immunoblastic large cell lymphoma diagnosis patients requiring corticosteroids who have not been on stable decreasing dose corticosteroid prior seven days
0, vinblastine medulloblastomas diagnosis score lansky greater thirty world health organization who score less two
1, cyclosporine testicular lymphoma diagnosis patients rapidly progressive high grade nhl
0, capecitabine breast cancer diagnosis no diabetes current history delayed wound healing skin ulcers
0, cyclophosphamide melanoma skin diagnosis lymphocyte count greater five hundred mm three
1, midazolam non small cell lung cancer nsclc diagnosis rptwod cohort subjects
1, cyclosporins stage iii adult lymphoblastic lymphoma diagnosis marrow donors
0, poly adp ribose polymerase inhibitors pontine glioma diagnosis greater equal six months since allogeneic stem cell transplant prior registration
0, emtricitabine kaposi sarcoma diagnosis hiv one infection
1, cetuximab metastatic colorectal cancer diagnosis known uncontrolled cns metastases
0, cyclophosphamide multiple myeloma plasma cell neoplasm diagnosis creatinine clearance greater forty ml min
0, dacarbazine recurrent brain tumors diagnosis no overt cardiovascular disease
1, erlotinib hydrochloride advanced malignant aerodigestive tract tumor lung head neck esophagus diagnosis transaminase sgot sgpt greater doc upper limit normal uln greater five uln if known liver metastases
0, lapatinib prostate cancer diagnosis six month life expectancy
1, stress cardiac mri contraindication mri pacemakers defibrillators aneurysm clips other implanted ferromagnetic objects gadolinium known hypersensitivity gadolinium advanced renal insufficiency defined by glomerular filtration rate less thirty ml min doc threem two
1, immunoglobulins recurrent colorectal carcinoma diagnosis has active autoimmune disease that has required systemic treatment past two years use disease modifying agents corticosteroids immunosuppressive drugs replacement therapy thyroxine insulin physiologic corticosteroid replacement therapy adrenal pituitary insufficiency is not considered form systemic treatment
0, immunoglobulins clear cell renal cell carcinoma diagnosis alanine aminotransferase alt aspartate aminotransferase ast equal less uln
0, irinotecan recurrent childhood medulloblastoma diagnosis doc mg dl male patients aged greater equal sixteen years
1, carboplatin lymphoma diagnosis serious non healing wound ulcer bone fracture
1, nelfinavir non hodgkin lymphoma diagnosis acute active infection within fourteen days enrollment
1, sirolimus undifferentiated ovarian carcinoma diagnosis history non compliance medical regimens who considered potentially unreliable will not be able complete entire study
0, rituximab stage small lymphocytic lymphoma diagnosis fevers greater ten doc night sweats greater two weeks without evidence infection
1, fludarabine phosphate stage small lymphocytic lymphoma diagnosis diffusion capacity carbon monoxide dlco less forty total lung capacity tlc less forty forced expiratory volume one second fevone less forty receiving supplementary continuous oxygen
0, temozolomide central nervous system tumor pediatric diagnosis renal
1, dacarbazine neoplasm metastasis diagnosis history allergic reactions attributed compounds similar chemical biologic composition erlotinib temozolomide
0, lenalidomide adult lymphocyte depletion hodgkin lymphoma diagnosis eastern cooperative oncology group ecog performance status zero two
1, megestrol acetate stage ia endometrial carcinoma diagnosis mri evidence deep myometrial extrauterine spread
1, vitamin e cancer diagnosis cild is receiving head neck irradiation
1, cyclosporins recurrent small lymphocytic lymphoma diagnosis prior autologous hematopoietic stem cell transplant
1, vidarabine stage iv grade three follicular lymphoma diagnosis patient rapidly progressive aggressive nhl unless minimal disease state
0, thiotepa central nervous system tumors diagnosis surgery
0, progesterone breast cancer diagnosis life expectancy
0, albumin bound paclitaxel endometrial neoplasms diagnosis ability swallow oral medications willingness perform mucositis prophylaxis suitable venous access required blood sampling
0, immunoglobulins large cell lung cancer diagnosis more seven days since prior fna cnb mediastinoscopy
1, melphalan adult medulloblastoma diagnosis subjects who have contraindications carboplatin melphalan sts
0, antibodies monoclonal stage squamous cell carcinoma larynx diagnosis clinically significant peripheral vascular disease
0, gemcitabine stage iii intrahepatic cholangiocarcinoma diagnosis aspartate transaminase ast equal less five uln
1, paclitaxel ovarian cancer diagnosis known history human immunodeficiency virus hiv hiv one two antibodies
1, doxorubicin liver cancer diagnosis other based on judgment investigator
1, sorafenib stage iva squamous cell carcinoma paranasal sinus nasal cavity diagnosis known suspected allergy sorafenib any agent given course this trial
1, vaccines recurrent melanoma diagnosis patients who have had chemotherapy biological radiotherapy within four weeks six weeks nitrosoureas mitomycin prior entering those who have not recovered from adverse events due agents administered more four weeks earlier
0, immunoglobulin g stage ivc laryngeal squamous cell carcinoma diagnosis no prior chemotherapy biologic molecular targeted therapy recurrent metastatic scchn
1, immunoglobulins recurrent ovarian carcinoma diagnosis history myocardial infarction within six months
1, maytansine recurrent breast cancer diagnosis note
1, interleukin unresectable extrahepatic bile duct cancer diagnosis known seropositive hepatitis surface antigen
1, selenium stage iii squamous cell carcinoma lip oral cavity diagnosis prior chemotherapy radiotherapy hnscc any prior radiotherapy that would compromise delivery radical dose hnscc
1, pemetrexed documented symptomatic brain metastases progression requiring corticosteroids associated leptomeningeal involvement
0, cyclophosphamide melanoma diagnosis patients surgically resected brain metastases eligible
1, coal tar cancer diagnosis patients be treated regimen containing capecitabine
1, nivolumab recurrent non small cell lung carcinoma diagnosis cervical intra epithelial neoplasia
1, antibodies monoclonal history physical evidence cns disease including primary metastatic brain tumor
1, thoracic radiotherapy uncontrolled pleural effusion which may intervene radiotherapy primary tumor lung
0, liposomal doxorubicin lymphoma diagnosis pulmonary
1, antibodies monoclonal squamous non small cell lung cancer diagnosis history autoimmune disease except controlled treated hypothyroidism type diabetes
1, henatinib advanced solid cancer diagnosis other serious illness condition
1, mercaptopurine evidence current uncontrolled cardiovascular conditions including uncontrolled hypertension uncontrolled cardiac arrhythmias symptomatic congestive heart failure unstable angina myocardial infarction within past six months
1, carboplatin adenocarcinoma diagnosis subject has an active uncontrolled bacterial viral fungal infection requiring systemic therapy defined ongoing signs symptoms related infection without improvement despite appropriate antibiotics antiviral therapy other treatment
0, antibodies squamous cell lung cancer diagnosis active peptic ulcer disease
1, id lv melanoma currently enrolling diagnosis active tuberculosis recent less two week ago clinically significant infection evidence active hepatitis hepatitis hiv infection
0, bicalutamide breast cancer diagnosis platelet count greater one hundred one hundred nine l
1, navitoclax peripheral cell lymphoma diagnosis ponea oneb only
1, eflornithine familial adenomatous polyposis diagnosis fasting glucose greater one hundred ten mg dl greater doc mmol l
0, fludarabine phosphate nonmalignant neoplasm diagnosis myelofibrosis
1, formyltetrahydrofolates rectum cancer diagnosis pregnant breastfeeding
0, belinostat recurrent adult hodgkin lymphoma diagnosis platelets greater equal seventy five zero mcl
1, anastrozole breast neoplasms diagnosis medical psychiatric condition which may preclude protocol compliance
0, antibodies monoclonal salivary gland squamous cell carcinoma diagnosis eastern cooperative oncology group ecog performance status zero one
0, albumin bound paclitaxel breast carcinoma diagnosis radiation therapy is allowed provided last dose is given greater equal three weeks prior randomization
0, fluorouracil head neck neoplasms diagnosis oral cavity oropharynx hypopharyx larynx presenting locally recurrent metastatic disease at least one unidimensionally bidimensionally measurable lesion
0, irinotecan ganglioneuroblastoma diagnosis patients must not have received long acting myeloid growth factors neulasta within fourteen days entry on this seven days must have elapsed since administration short acting myeloid growth factor
0, levoleucovorin stage iii pancreatic cancer diagnosis if patient has biliary obstruction biliary decompression will be required either endoscopic placement biliary stent seven french greater percutaneous transhepatic drainage acceptable once biliary drainage has been established institution gemcitabine therapy may proceed when total bilirubin falls below doc mg dl
0, docetaxel breast cancer diagnosis eligibility must be based on most recent postoperative test result performed within six weeks prior randomization
0, bortezomib recurrent salivary gland cancer diagnosis idarubicin
1, tailored exercise prescription breast cancer diagnosis any unstable uncontrolled cardiopulmonary illness
0, adjuvants immunologic stage iiia primary peritoneal cancer diagnosis magnetic resonance imaging mri ct positive positron emission tomography pet image if performed will not exclude patient if other criteria met anatomical imaging is negative
1, taxane breast cancer diagnosis patients who pregnant breastfeeding
1, dacarbazine astrocytoma grade iv diagnosis chronic obstructive pulmonary disease exacerbation other respiratory illness requiring hospitalization precluding therapy
1, paclitaxel endometrial adenosquamous carcinoma diagnosis ctcae grade two greater peripheral vascular disease
1, letrozole previous current malignancies at other sites within last five years exception adequately treated cone biopsied situ carcinoma cervix uteri basal squamous cell carcinoma skin
1, mitomycins urothelial carcinoma bladder diagnosis any component small cell histology
1, intensity modulated radiotherapy treatment non small cell lung cancer diagnosis patients suitable standard concurrent ctrt
1, fluorouracil stage iiib gastric cancer diagnosis celiac adenopathy greater equal two cm size
1, carboplatin breast cancer diagnosis history any arterial thrombotic event within twelve months before randomization
0, dexamethasone acetate multiple myeloma diagnosis pt ptt less doc upper limits normal uln
0, sirolimus histologic proof neuroblastoma positive bone marrow tumor cells increased urine catecholamines
1, angiogenesis inhibitors renal cell carcinoma diagnosis subject is known have history hype negative hypo coagulation syndromes resulting prolongation bleeding parameters
1, cetuximab recurrent pancreatic cancer diagnosis gastrointestinal tract disease resulting an inability take oral medication requirement iv alimentation prior surgical procedures affecting absorption active peptic ulcer disease
0, cytarabine mature cell lymphoma
1, scar technique colonic adenoma diagnosis pregnancy
0, everolimus recurrent small cell lung carcinoma diagnosis willing provide tissue samples correlative research purposes
1, antilymphocyte serum lymphoma diagnosis active hepatitis either active carrier hbsag positive viremic hbv dna greater equal ten zero copies ml greater equal two zero iu ml
1, liver extracts bile duct cancer diagnosis prior biliary resection attempted resection
1, vaccines carcinoma advanced metastatic diagnosis patients known brain metastases unless treated stable greater two months
0, etoposide anaplastic large cell lymphoma alk positive diagnosis ejection fraction greater equal fifty by radionuclide angiogram
1, gemcitabine prior neo adjuvant treatment radiation therapy systemic therapy pancreatic adenocarcinoma
0, antibodies stage iva nasal cavity paranasal sinus squamous cell carcinoma diagnosis absolute neutrophil count greater one five hundred mcl
0, mycophenolate mofetil lymphoma diagnosis d
0, sargramostim unspecified adult solid tumor protocol specific diagnosis no untreated unstable brain metastases
1, bevacizumab primary peritoneal high grade serous adenocarcinoma diagnosis baseline ejection fraction equal less fifty assessed by echocardiogram multi gated acquisition muga
1, gauge needle pancreatic neoplasms diagnosis age less nineteen years
1, nivolumab advanced melanoma diagnosis history any hepatitis
0, mycophenolate mofetil stage iii mantle cell lymphoma diagnosis low grade nh negative less six months duration complete response cr between courses conventional therapy
0, immunoglobulins hertwo positive breast cancer diagnosis bilirubin within normal limits within ninety days prior registration
1, dynamic contrast enhanced magnetic resonance imaging recurrent renal cell cancer diagnosis history cerebrovascular accident including transient ischemic attack tia pulmonary embolism untreated deep venous thrombosis dvt within past six months note
0, cephalosporins small lymphocytic lymphoma diagnosis absolute neutrophil count less five hundred cells mm three less one thousand cells mm three predicted decrease less five hundred cells mm three
0, cyclosporine adult grade iii lymphomatoid granulomatosis diagnosis pbmc only will be permitted hsc source on this protocol
0, albumin bound paclitaxel ovarian serous cystadenocarcinoma diagnosis no poorly differentiated subtypes grade three clear cell papillary serous
1, sirolimus stage iiia breast cancer diagnosis chronic treatment systemic steroids another immunosuppressive agent use steroids part management everolimus toxicities will be allowed
0, epothilone b localized unresectable adult primary liver cancer diagnosis no prior allergic hypersensitivity reaction attributed compounds containing cremophor el paclitaxel compounds similar chemical biological composition bms two hundred forty seven thousand five hundred fifty
0, maleic acid stage iiic skin melanoma diagnosis women who have had tubal ligation
1, fludarabine stage iii marginal zone lymphoma diagnosis patients who homozygous at mismatched major histocompatibility complex mhc class locus
1, sorafenib carcinoma hepatocellular diagnosis subject has any significant medical condition laboratory abnormality psychiatric illness that would prevent subject from participating study
0, antibodies monoclonal recurrent midline lethal granuloma paranasal sinus nasal cavity diagnosis no hemoptysis at least one tablespoon
1, letrozole cancer breast diagnosis clinically significant history liver disease
1, bortezomib multiple myeloma diagnosis severe cardiac dysfunction nyha classification ii iv
0, cortisol succinate colorectal cancer diagnosis patients who have failed first line treatment containing fluoropyrimidine oxaliplatin based chemotherapy without bevacizumab mcrc
1, gemcitabine primary peritoneal cancer diagnosis serious comorbidities determined by investigator such but not limited active congestive heart failure recent myocardial infarction active infection
1, etoposide phosphate lymphoma diagnosis active cns involvement by malignancy
1, paclitaxel breast cancer diagnosis active infection
0, rituximab lymphoma diagnosis lymphoplasmacytoid
1, thalidomide lymphoma non hodgkin diagnosis any clinically significant comorbidities such uncontrolled pulmonary disease known impaired cardiac function clinically significant cardiac disease specified below active cns disease active infection any other condition that could compromise participant participation study
0, mycophenolate mofetil stage iii adult burkitt lymphoma diagnosis myelodysplastic syndromes mds greater int one per ipss after greater equal one prior cycle induction chemotherapy should have less five marrow blasts at time transplant
0, vidarabine noncontiguous stage ii adult lymphoblastic lymphoma diagnosis myelodysplasia mds
0, doxorubicin stage ia breast cancer diagnosis if ihc staining intensity is reported range zero one positive one positive two positive higher intensity score range should be used determine eligibility
0, irinotecan head neck cancer diagnosis more three months since prior biologic therapy
0, sirolimus pancreatic polypeptide tumor diagnosis hepatic artery embolization
0, gemcitabine metastatic cancer diagnosis karnofsky performance status fifty one hundred
0, belinostat fallopian tube cancer diagnosis patients must have signed an approved informed consent authorization permitting release personal health information
1, fludarabine phosphate noncontiguous stage ii grade two follicular lymphoma diagnosis female patients who pregnant breastfeeding
0, cyclophosphamide splenic marginal zone lymphoma diagnosis patients must be willing use contraception if they have childbearing potential
1, hydroxyurea glioblastoma diagnosis previous enrollment randomization treatment present study
1, everolimus recurrent grade one follicular lymphoma diagnosis addition cytotoxic agents cytoreduction exception tyrosine kinase inhibitors such imatinib cytokine therapy hydroxyurea low dose cytarabine chlorambucil rituxan will not be allowed within three weeks initiation conditioning
1, doxorubicin known central nervous system involvement by lymphoma
1, veliparib recurrent solid neoplasm diagnosis eligibility subjects receiving any medicat
1, trametinib metastatic malignant neoplasm liver diagnosis concurrent treatment bisphosphonates is permitted however treatment must be initiated prior first dose therapy prophylactic use bisphosphonates patients without bone disease is not permitted except treatment osteoporosis
0, paclitaxel non small cell lung cancer diagnosis at least eighteen years age
1, antibodies stage iia ovarian cancer diagnosis patients major surgical procedure anticipated during course this includes but is not limited to
0, niacinamide stage iva squamous cell carcinoma oropharynx diagnosis surgery must have been completed at least twenty eight days prior registration all complications adverse events must have been resolved
0, cyclophosphamide peripheral cell lymphoma diagnosis contraindication any required concomitant drugs supportive treatments including hypersensitivity all anticoagulation antiplatelet options antiviral drugs intolerance hydration due preexisting pulmonary cardiac impairment
1, antibodies monoclonal metastatic malignant neoplasm spine diagnosis patients both brain spine metastases will be excluded from trial
0, liposomal doxorubicin node negative primary tumor greater doc cm tonec tthree
1, vidarabine recurrent indolent adult non hodgkin lymphoma diagnosis patients available hla matched related donors
1, albumin bound paclitaxel adenocarcinoma diagnosis pregnancy positive serum pregnancy test lactation
0, mycophenolic acid anaplastic large cell lymphoma diagnosis there is likelihood rapid disease progression while hla typing results preliminary search donor pool suggests that ten ten hla b drbone dqbone matched unrelated donor will not be found
1, bevacizumab colorectal cancer diagnosis history prior concurrent central nervous system cns metastases
1, pioglitazone squamous cell lung cancer diagnosis stereotactic radiation whole brain radiation within twenty eight days prior cycle one day one
1, liposomal doxorubicin lymphoma cell diagnosis subjects prior diagnosis malignancy more ten years may be entered into at discretion principal investigator
1, mycophenolic acid recurrent childhood lymphoblastic lymphoma diagnosis patient has following organ dysfunction
1, secretin cellular diagnosis pancreatic cancer diagnosis presence pace makers aneurysm clips artificial heart valves ear implants metal fragments foreign objects eyes skin body
1, pelvic floor muscle training prostate cancer diagnosis less one week before surgery
0, bevacizumab head neck cancer diagnosis measurable disease is not required
1, cetuximab recurrent laryngeal verrucous carcinoma diagnosis patients history toxicity greater equal grade three prior egfr directed therapy
0, etoposide breast cancer diagnosis not specified note
1, fludarabine phosphate aids related diffuse mixed cell lymphoma diagnosis positive serology toxoplasma gondii on treatment evidence active infection
0, gemcitabine er pgr negative poor allred score less three eight hertwo negative breast cancer
1, thoracotomy malignant tumor history within past five years except following conditions
1, azacitidine melanoma diagnosis patients thyroid dysfunction not responsive therapy
1, cisplatin cancer head diagnosis minimum sensitivity pregnancy test must be twenty five iu equivalent units hcg
0, rituximab stage iii grade one follicular lymphoma diagnosis platelet count at least fifty zero mm three
1, everolimus cervical adenosquamous carcinoma diagnosis serious illness medical condition which would not permit patient be managed according protocol including but not limited to
0, antibodies stage iv grade three follicular lymphoma diagnosis platelets greater equal fifty zero mcl
1, ketoprofen uterine cervical cancer diagnosis severe renal insufficiency
0, jm stage ii multiple myeloma diagnosis platelet greater equal seventy five thousand ul
1, paclitaxel insulinoma diagnosis exposure any investigational drug within three weeks prior start dosing
1, antibodies stage iv squamous cell carcinoma nasopharynx diagnosis all wocbp must have negative pregnancy test equal less seven days prior registration if pregnancy test is positive patient must not receive investigational product must not be enrolled study
1, antibodies monoclonal ovarian cancer diagnosis if cardiac function assessment is clinically indicated performed
0, levoleucovorin recurrent extrahepatic bile duct carcinoma diagnosis myocardial infarction within past six months uncontrolled angina within past six months class ii iv new york heart association nyha congestive heart failure grade three cardiac valve dysfunction cardiac arrhythmia not controlled by medication history stroke transient ischemic attack within six months history arterial thrombotic event ate any type past six months treatment refractory hypertension defined blood pressure systolic greater one hundred forty mmhg diastolic greater ninety mmhg which cannot be controlled anti hypertensive therapy known intra cardiac defibrillators known cardiac metastases
0, tacrolimus multiple myeloma plasma cell neoplasm diagnosis not pregnant nursing
1, irinotecan fallopian tube cancer diagnosis history myocardial infarction unstable angina within six months prior day one
1, mycophenolic acid cutaneous cell non hodgkin lymphoma diagnosis patient has fungal infection radiological progression after receipt amphotericin active triazole greater one month
1, antibodies monoclonal advanced cancer diagnosis pregnant lactating women
0, albumin bound paclitaxel ovarian neoplasm diagnosis participants who undergo primary cytoreductive surgery must be entered between one one weeks after surgery
1, niacinamide stage ivc verrucous carcinoma oral cavity diagnosis any condition which investigator opinion makes subject unsuitable trial participation
1, sirolimus clear cell metastatic renal cell carcinoma diagnosis uncontrolled hypertension defined systolic blood pressure greater one hundred fifty mmhg diastolic pressure greater ninety mmhg despite optimal medical treatment
0, bortezomib stage iii adult hodgkin lymphoma diagnosis no dexamethasone aprepitant an antiemetic
1, antibodies monoclonal stage ia breast cancer diagnosis history cardiac disease
0, fluorouracil unspecified adult solid tumor protocol specific diagnosis rales pulmonary infiltrates hypoxia tachypnea
0, temozolomide recurrent childhood rhabdomyosarcoma diagnosis platelet count greater one hundred zero mm three transfusion independent
1, fludarabine uncontrolled symptomatic congestive heart failure
0, rituximab stage mantle cell lymphoma diagnosis received high dose chemotherapy autologous stem cell transplantation asct from forty two one hundred twenty eight days before enrollment stable disease partial response complete response following asct
0, dexamethasone multiple myeloma diagnosis current use oral corticosteroids exception inhaled topical steroids
1, androgens prostate cancer diagnosis patient already on adt
1, paclitaxel prior treatment breast cancer
1, albumin bound paclitaxel neoplasms diagnosis significant uncontrolled intercurrent illness
0, fluorouracil stage ii pancreatic cancer diagnosis registration eligibility criteria
0, rituximab lymphoma non hodgkin diagnosis last rituximab containing therapy is defined last therapy regimen containing at least one full dose rituximab
1, methylprednisolone hemisuccinate prostate cancer diagnosis participants reproductive potential who did not agree use accepted effective method contraception during treatment period
0, temozolomide recurrent childhood soft tissue sarcoma diagnosis fertile patients must use effective contraception
1, jx colorectal carcinoma diagnosis household contact exclusions
1, transoral robotic surgery stage iv squamous cell carcinoma oropharynx diagnosis evidence distant metastases below clavicle by clinical radiographic measures
1, capecitabine malignant neoplasms ill defined secondary unspecified sites diagnosis requirement chronic use full dose aspirin non steroidal anti inflammatory drugs nsaids
0, antibodies monoclonal stage iii grade two follicular lymphoma diagnosis ability understand willingness sign written informed consent all patients must have signed witnessed informed consent prior registration
1, liver extracts liver cancer diagnosis prior chemotherapy
1, immunoglobulin g grade iii meningioma diagnosis patients active implanted medical device skull defect such missing bone no replacement shunt bullet fragments examples active electronic devices include deep brain stimulators spinal cord stimulators vagus nerve stimulators pacemakers defibrillators programmable shunts
1, fludarabine recurrent grade three follicular lymphoma diagnosis patients diagnosis chronic myelomonocytic leukemia cmml
1, bevacizumab colorectal adenocarcinoma diagnosis history myocardial infarction unstable angina cardiac other vascular stenting angioplasty surgery within six months prior enrollment
1, camptothecin metastatic colorectal cancer diagnosis any history currently known brain metastases
1, docetaxel stage iv prostate cancer diagnosis subjects must not have received chemotherapy biologic therapy any other investigational drug any reason within twenty eight days prior start therapy must have recovered from toxicities prior therapy grade one less exception alopecia
0, cisplatin carcinoma larynx diagnosis oropharynx hpv positive hpv negative hypopharynx larynx primaries nasopharynx well those documented scc cervical lymph nodes unknown primaries
1, kanamycin colorectal neoplasms diagnosis steroid administration before surgery
1, isophosphamide mustard non hodgkin lymphoma diagnosis patient has received other investigational drugs cytotoxic chemotherapy within fourteen days enrollment
0, trastuzumab breast cancer diagnosis platelet greater one hundred zero mmthree
0, liposomal doxorubicin breast cancer diagnosis sentinel node biopsy negative metastasis sentinel node biopsy positive allowed if enrolled on american college surgery trial zeleven have beenrandomized receive no axillary dissection
1, bevacizumab primary brain tumor diagnosis coagulation disorder
0, electrochemotherapy histological confirmed breast cancer
0, isophosphamide mustard childhood diffuse large cell lymphoma diagnosis no other concurrent immunomodulating agents
1, sirolimus recurrent digestive system neuroendocrine tumor gone diagnosis unresolved toxicities from prior systemic therapy that common terminology criteria adverse events ctcae version doc greater equal grade two severity except alopecia
0, methotrexate recurrent childhood large cell lymphoma diagnosis subjects must be ineligible unable receive conventional myeloablative transplantation
0, antibodies stage iiib ovarian cancer diagnosis primary surgery patients
0, fludarabine phosphate lymphoma diagnosis disease characteristics
0, fluorouracil recurrent squamous cell carcinoma paranasal sinus nasal cavity diagnosis no non healing wounds within past four weeks
0, paclitaxel histologically confirmed invasive mammary carcinoma
0, docetaxel recurrent non small cell lung cancer diagnosis fertile patients must use effective contraception
0, carboplatin recurrent anal cancer diagnosis written signed informed consent patient must be aware that his her disease is neoplastic nature willingly consent after being informed procedure be followed experimental nature therapy alternatives potential benefits side effects risks discomforts
0, k pancreatic cancer diagnosis eighty one hundred nine l
1, bortezomib multiple myeloma relapse diagnosis patients may be receiving concomitant therapy bisphosphonates low dose corticosteroids prednisone up but no more ten mg its equivalent symptom management comorbid conditions
0, prednisolone lymphoma diagnosis gonadal involvement
1, vaccines nasopharyngeal carcinoma diagnosis autoimmune disease such systemic lupus erythematosis rheumatoid arthritis that is active requires current immunosuppressive therapy
1, anti bacterial agents peri ampullary cancer diagnosis patients allergy beta lactam
0, laboratory biomarker analysis recurrent adrenal cortex carcinoma diagnosis six less ten years age
0, docetaxel stage iv squamous cell carcinoma hypopharynx diagnosis no more one prior chemotherapy regimen metastatic disease
1, trastuzumab breast cancer diagnosis incapacity refusal provide informed consent
1, epirubicin non glandular breast cancers
0, cyclophosphamide contiguous stage ii adult diffuse small cleaved cell lymphoma diagnosis serum glutamic oxaloacetic transaminase sgot less two times normal clearance by ccf physician
0, asparaginase refractory lymphoblastic lymphoma diagnosis note
1, antibodies monoclonal recurrent small lymphocytic lymphoma diagnosis karnofsky score less seventy adult patients
1, interleukin prior systemic treatment one prior systemic treatment is allowed metastatic melanoma patients
0, angiogenesis inhibitors lung cancer diagnosis and
0, carboplatin prior temozolomide carboplatin frontline therapy adjuvant setting allowed provided patient did not experience severe toxicities related drug tumor progressed during this therapy
0, mycophenolic acid multiple myeloma diagnosis doc
1, mitomycin advanced cancer esophagogastric junction diagnosis history hypersensitivity any drugs drugs similar chemical structures
1, panobinostat high grade meningioma diagnosis subject has received prior course radiation therapy within target volume be treated part this protocol aside from whole brain radiation
0, antibodies monoclonal testicular lymphoma diagnosis platelet count greater equal one hundred zero mm three transfusion independent defined not receiving platelet transfusions at least seven days prior enrollment
1, trovax prostatic neoplasms diagnosis known allergy egg proteins
0, busulfan kidney cancer diagnosis previously treated leptomeningeal disease allowed provided csf cytology is negative at time assessment transplantation
0, fluorouracil metastatic pancreatic adenocarcinoma diagnosis serum albumin greater equal three dl
1, rituximab cancers that inactive that being treated hormonal therapy
0, fluorodeoxyglucose f lymphoma diagnosis ast less two times upper limit normal
0, etoposide stage iiib non small cell lung cancer diagnosis women child bearing potential wocbp must have negative pregnancy test within fourteen days registration urine human gonadotropin hcg is an acceptable pregnancy assessment
1, mycophenolate mofetil recurrent adult grade iii lymphomatoid granulomatosis diagnosis donor
1, gefitinib recurrent gastrointestinal carcinoid tumor diagnosis psychiatric illness social situation that would limit compliance requirement
0, rituximab stage iv adult diffuse small cleaved cell lymphoma diagnosis two below
1, bevacizumab recurrent adult brain tumor diagnosis no clinically significant cardiovascular disease including any following
1, erlotinib hydrochloride lung cancer diagnosis history corneal disease
0, antibodies monoclonal recurrent inflammatory breast carcinoma diagnosis has not undergone hysterectomy bilateral oophorectomy
0, antibodies endometrial papillary serous carcinoma diagnosis creatinine ratio less doc urine protein less one zero mg on twenty four hour urine collection
1, allogeneic donor derived b lymphocytes multiple myeloma diagnosis severe acute graft versus host disease gvhd glucksberg grade iii und iv
1, bevacizumab anaplastic oligo astrocytoma aoa diagnosis craniotomy wound that has not sufficiently healed
1, cyclosporins recurrent adult diffuse small cleaved cell lymphoma diagnosis patients rapidly progressive aggressive nhl unless minimal disease state
1, entinostat stage iiia breast cancer diagnosis patients permitted enroll if they have vitiligo type diabetes mellitus residual hypothyroidism due autoimmune condition only requiring hormone replacement psoriasis not requiring systemic treatment conditions not expected recur absence an external trigger precipitating event
0, citric acid lymphoplasmacytic lymphoma diagnosis fl criteria diagnosis
1, antibodies monoclonal multiple myeloma diagnosis subjects psoriasis not requiring systemic treatment
1, levoleucovorin stage iiib gallbladder cancer diagnosis patients any polymorphism ugtoneaone other one twenty eight
1, poly iclc recurrent pediatric low grade glioma diagnosis interleukins proleukin
1, melphalan multiple myeloma diagnosis patients who have had previous malignancy that is not remission
1, e cutaneous cell lymphoma diagnosis participant serious complications histories
1, hydroxychloroquine colorectal cancer diagnosis qtc greater five hundred ms at baseline average three determinations at ten minutes interval
0, pemetrexed rhabdomyosarcoma diagnosis eastern cooperative oncology group ecog performance zero one two
1, bendamustine hydrochloride multiple myeloma diagnosis individuals unable provide informed consent
0, antibodies monoclonal stage ivb verrucous carcinoma larynx diagnosis potassium within normal limits institution
1, bevacizumab anaplastic oligodendroglioma diagnosis concurrent use other standard chemotherapeutics investigative agents vasoconstrictors treatment migraine ergotamine zolmitriptan sumatriptan because potential exacerbation coronary vasoconstriction
0, carboplatin neuroblastoma diagnosis patient is less equal eighteen years age
1, botulinum toxins breast neoplasms diagnosis patients who pregnant
1, medical acupuncture gastrointestinal neoplasms diagnosis scheduled receive rt period less four weeks
1, cetuximab recurrent gastric cancer diagnosis major surgery significant traumatic injury occurring within twenty one days prior treatment
0, everolimus tufted angioma diagnosis prior therapy requirements
1, best supportive care carcinoma hepatocellular diagnosis patients who took thalidomide no more less equal three days before enrolment
0, doxorubicin coldrhood cancer diagnosis lifetime cumulative dose anthracycline
0, sirolimus cancer diagnosis bone marrow function anc greater one five hundred ul platelet greater one zero ul hb greater doc dl
0, compliance monitoring ovarian endometrioid adenocarcinoma diagnosis patients following histologic epithelial cell types eligible
1, vincristine solid tumors diagnosis treatment non approved investigational drug within thirty days before day one trial treatment
1, godin leisure time exercise questionnaire glteq prostate cancer diagnosis pregnancy confirmed suspected
1, bevacizumab desmoplastic small round cell tumor dsrct diagnosis pregnant breastfeeding females
0, fluorouracil mucinous adenocarcinoma colon diagnosis must have available tissue immunohistochemical analysis
0, diphosphonates hereditary breast ovarian cancer brcaone brcatwo diagnosis more onetwo months since prior no concurrent systemic corticosteroids
0, cisplatin gastrointestinal carcinoid tumor diagnosis no other concurrent chemotherapy this condition
0, surgery metastatic cancer diagnosis eligible treatment gamma knife linear accelerator based radiosurgery
0, tocopherols breast cancer diagnosis normal kidney function
0, bryostatin stage iv gastric cancer diagnosis no prior chemotherapy
0, formoterol fumarate lung cancer diagnosis patient characteristics
